img|n_rooms|n_bathrooms|area|zipcode|price
1710|3|2.0|960|91901|65000
1934|5|5.0|4014|92880|542000
1960|3|2.0|1705|93446|499500
1544|3|3.0|1894|81524|449000
1665|3|2.0|1766|92276|129000
1547|4|4.0|3260|85377|999000
1796|6|5.5|5000|93446|2200000
1662|2|2.0|960|92276|79900
1707|3|1.5|1214|92802|4874000
1923|3|2.0|2788|92276|385000
1632|2|1.0|780|92276|67900
1785|2|2.0|1005|91901|245900
1734|4|3.0|2965|92677|1349000
1866|3|3.0|2848|93510|547900
1591|2|2.0|1440|92276|94900
1966|2|2.0|1248|92276|117500
1913|2|2.0|1503|92692|664900
1916|3|1.0|1337|93510|335000
1756|3|2.0|2012|94531|454999
1703|2|2.0|1440|92276|99000
1795|4|2.5|2236|94531|495000
1624|3|2.0|2315|93510|499000
1905|2|2.0|1000|92276|118900
1729|2|2.0|960|92276|100000
1929|4|3.5|3420|94531|550000
1789|2|1.0|960|92276|63500
1529|2|2.0|1940|92276|129500
1983|3|2.0|1248|92802|78000
2055|3|2.5|1935|92802|695000
1675|3|2.5|1991|93510|515000
1999|3|2.0|1397|92276|199000
1861|2|2.0|1930|92276|164900
1771|4|3.0|3010|92880|3503000
1739|3|2.5|2260|93510|470000
1924|4|3.0|2530|93924|1150000
1649|5|4.0|3972|91752|525000
1635|3|2.0|1802|93446|365000
1826|5|3.0|3034|92880|539800
1798|2|2.0|1845|91901|529800
1573|4|2.5|1662|94531|329900
2031|4|3.0|2506|94531|449950
1704|3|1.5|1524|94501|749000
1850|3|2.0|1236|93510|221000
1949|3|2.0|2346|93510|557000
1834|6|4.5|4386|93446|759000
1548|3|2.0|2691|93510|675000
1918|4|3.0|1496|93446|515000
1666|3|2.0|1471|92802|525000
1837|3|4.5|3893|85255|1294000
1592|3|3.0|2800|93510|630000
1998|3|2.5|1321|91915|360000
1853|3|2.5|1339|93446|344900
1788|2|2.0|1152|92276|99000
1667|3|2.0|2034|81418|415000
1566|2|2.0|1088|93446|280000
1946|2|2.0|1600|92276|147000
1775|2|1.0|1110|94501|649000
1919|5|3.0|3075|92880|534888
2016|3|2.0|1368|93111|599999
1986|4|5.0|3550|85262|1500000
1608|3|2.0|2752|93510|3847000
1679|3|1.5|1080|93446|325000
1759|4|2.0|1768|96019|279900
1869|4|3.5|3381|93510|725000
1723|4|2.5|2508|95220|699700
1982|5|3.0|3710|85331|740000
1921|3|2.0|2250|91901|625000
1712|5|3.0|3679|94531|525000
1693|5|2.0|2066|94531|399900
1963|2|2.0|2036|92276|175000
1790|3|2.0|1410|93446|330000
1603|4|3.0|2870|92880|1392000
1609|3|2.5|2225|92677|949000
1616|5|3.5|3778|91901|949000
1932|3|3.0|2367|92880|529000
1749|3|2.0|1939|93446|575000
2009|2|2.0|1152|92276|84900
1598|3|2.0|2061|93510|529000
1787|3|2.0|1209|92253|250000
1579|3|2.0|1303|92677|619000
1708|5|5.0|5677|85377|1375000
1599|4|3.0|2851|62234|186500
1871|4|4.0|4021|85266|889000
1646|5|3.0|3767|92880|567000
1663|3|4.0|4116|85266|971226
1953|4|3.5|3328|91901|1095000
1597|2|2.0|1152|92276|96900
2005|4|4.0|2460|90038|1550000
1628|3|2.0|1008|96019|164000
1550|3|3.5|4143|85266|925000
1812|3|2.0|1490|94501|949000
2045|5|3.0|3188|92880|567500
1811|3|1.5|1364|94501|729000
1818|3|2.0|1706|91901|529000
1570|4|3.0|2579|92880|520000
1964|3|2.0|1235|92677|469900
1757|2|1.0|1016|94501|679000
1590|5|4.0|3489|92677|1650000
1674|4|2.5|1602|94501|949000
1614|3|2.0|1570|93446|435000
1744|4|2.5|2726|91901|644900
1858|2|2.0|1152|92276|97500
1653|4|3.0|1882|92802|825000
1601|2|2.0|1088|93446|265000
2050|4|3.0|2614|92677|1045000
1922|3|2.0|2288|62214|196000
1773|3|2.0|2154|60002|349900
1955|2|2.0|1380|92276|125000
1654|2|2.0|1368|92276|69800
1988|3|1.0|1132|96019|170000
1968|3|2.5|1655|92677|649900
1958|2|2.0|1248|92276|114500
1882|2|2.0|1440|92276|97500
1961|3|2.0|2504|94501|895000
2048|2|2.0|1820|92276|225000
1556|3|2.0|1796|93111|897000
1859|3|2.0|1560|96019|855000
1720|5|3.25|3149|92880|515000
1865|4|3.5|3485|94501|1895000
2042|3|2.5|2295|90211|1500000
1557|3|4.0|2748|85255|725000
2002|4|3.5|9536|94531|460000
1908|4|3.5|3428|85255|1039000
1755|3|2.5|1680|92021|389000
1709|3|2.0|1709|62234|104900
2035|4|3.0|2454|93510|3184000
1833|2|2.0|1120|92276|72000
1697|4|4.0|3254|93510|674900
1797|3|3.5|4229|85255|1749000
1718|5|3.0|3514|92880|649990
1561|5|5.0|4829|85266|519200
1657|3|2.0|2095|93510|479000
1971|2|2.0|1440|92276|83900
1680|2|2.0|1598|92276|136900
1779|5|4.0|4014|92880|699000
2019|3|2.0|2288|62214|196000
1926|4|3.0|3631|93510|699900
2008|4|2.0|1966|93510|530000
1691|4|1.5|1254|62234|94500
1701|2|1.0|1065|94501|629000
1730|4|1.0|9583|98021|395000
1793|5|3.0|2179|94531|430000
1819|5|4.0|3198|93510|695000
1619|4|3.0|2462|95220|915000
2039|3|2.0|1288|91901|549000
1939|5|5.5|3932|85262|1089000
1778|2|2.0|1020|92276|74900
1761|3|2.0|1940|93446|530000
1886|4|2.5|1580|95220|475000
1945|5|3.5|2879|94501|1327685
1746|5|3.0|5462|85266|799000
1658|4|3.0|2951|92880|549999
1695|3|3.0|1937|91901|895000
2060|2|2.0|1056|93446|179900
1991|3|2.0|1248|93510|240000
1555|4|3.0|3706|91901|848000
1802|2|2.0|1440|92276|62500
1722|2|2.0|1344|92276|139000
2024|2|2.0|1176|92276|135000
1897|3|2.0|1413|94501|619000
1978|3|3.0|2522|93510|705000
1690|2|1.0|1184|91901|397500
1860|4|4.0|3030|93510|759000
2000|2|1.0|766|94501|598000
1727|4|5.0|3834|92880|530000
1838|1|1.5|1440|92276|87500
1974|4|4.0|2681|93446|572000
1672|2|2.0|1388|92276|167400
1825|3|2.0|2014|94531|407000
1944|3|2.0|2671|91901|521500
1642|2|2.0|1538|93446|699500
1847|4|4.0|3522|93510|680000
1848|2|2.0|1020|92276|369000
1828|4|4.5|4031|85262|1345000
1911|3|2.0|1508|81524|450000
1820|3|2.0|1600|62214|184900
1829|6|4.0|3375|92880|538000
2022|3|2.0|1306|96019|239900
1920|7|4.0|3871|94531|569950
1774|2|1.5|1056|94501|739000
1626|3|2.0|1448|93510|349000
1890|2|2.0|1468|92276|125000
2011|4|3.5|3101|93446|895000
1864|4|2.0|2334|94531|460000
1684|4|2.5|2362|93510|539900
1617|4|3.5|3426|91901|679000
1640|2|1.5|1056|92276|79900
1669|4|4.5|3550|85262|962500
1852|3|1.5|1581|94501|895000
1814|3|2.5|2490|93510|450000
1677|3|2.0|2198|93446|625000
1655|6|4.0|4311|92880|695000
2013|2|2.0|960|92276|69500
1995|2|3.0|1627|92253|550000
1676|4|3.0|3277|91901|669000
1976|5|4.5|4886|91901|1430000
1747|2|2.0|1578|92276|97000
1576|3|3.0|2362|93510|541000
1841|4|5.0|3307|92880|519900
1724|3|2.0|1560|92276|189000
2041|10|6.0|4188|93446|629000
2032|3|2.5|1665|94501|875000
1807|1|1.0|840|94568|303590
1823|2|2.0|1344|92276|89500
1805|2|2.0|1544|92276|124900
1630|3|2.5|1717|92802|540000
1534|3|4.0|2544|85262|799000
1895|2|2.5|960|92276|135000
1541|6|3.5|3615|92880|647000
1977|3|2.0|2160|93510|409900
1909|2|2.0|1716|93105|895000
1706|2|1.0|884|93510|400000
1652|2|2.0|1486|92276|154000
1881|4|3.0|2504|81524|500000
1528|3|2.5|1776|62034|209900
1938|5|3.0|3122|94501|899000
1540|2|2.0|951|94501|538800
1981|3|2.0|1594|81521|214900
1933|3|2.0|1472|93446|309995
1578|3|2.0|1734|93510|265000
1873|4|2.5|6000|92677|869000
1975|4|3.0|1606|92802|850000
1743|2|2.0|1248|92276|50000
1738|4|2.0|1866|92276|256000
1863|5|5.0|4406|85266|700000
1596|7|4.0|2929|91901|625000
2003|3|2.0|1447|93111|1080000
1651|3|2.5|1554|92802|409900
1910|4|3.0|3000|92880|529900
1644|3|2.0|2971|93446|2395000
1748|4|3.0|3572|92880|535000
1753|2|2.0|1840|92276|160000
1912|5|5.0|4022|85262|910000
1595|4|3.5|2900|96019|449900
1947|4|3.0|2650|92880|529900
2012|5|4.0|4190|85255|1199000
1801|3|2.0|1404|93510|195000
1633|2|2.0|1281|92276|139000
2017|3|2.5|2014|98021|528800
1542|2|2.5|987|92802|475000
2001|6|6.5|5963|85262|1595000
1681|3|2.0|1822|93446|510000
1583|3|3.0|1864|94501|287000
1799|3|2.5|1950|92677|895000
1760|3|2.0|1152|93510|425000
1714|4|2.5|2300|94501|1188000
1821|5|3.0|4200|92021|799000
1535|4|3.0|2353|94531|458000
1670|3|3.0|2685|85255|799900
1577|3|2.5|2836|91901|979000
1751|3|2.0|1507|92276|235000
1733|4|2.0|7841|60016|299000
1875|5|3.5|3149|92880|515000
1896|3|2.5|2750|62234|219500
1855|6|4.0|3635|92880|585000
2036|4|2.5|2464|91901|599000
1836|3|2.0|1397|92276|248500
1830|5|3.0|2520|93446|789000
1887|4|4.0|4042|91901|769000
1763|2|2.5|1772|93446|499000
2056|4|2.5|2020|94501|825000
2059|3|3.0|2836|81524|535000
1925|4|4.0|2893|92880|520000
1602|3|3.0|2146|93446|455000
1979|4|3.0|2870|92880|489000
1607|2|2.0|1059|93510|445000
1745|4|2.0|2072|93446|429900
1546|3|2.5|2824|93510|569000
1532|4|3.0|3624|93510|698777
1880|3|2.0|1248|92276|139500
1719|2|2.0|1440|92276|154500
1993|2|2.0|1152|92276|99900
1623|2|2.5|915|92677|347000
2053|2|2.0|1344|92276|69900
1816|4|4.5|4038|92677|1795000
1839|3|2.0|1372|96019|178000
1643|2|1.0|854|93446|179000
2043|4|3.0|2256|62214|144900
1594|2|2.0|1313|94501|750000
1842|4|2.5|3060|91901|699999
1894|3|3.0|2134|81524|425000
1898|2|2.0|1742|93446|975000
1941|3|3.0|2356|93510|710000
1610|3|2.0|1932|93510|309900
2015|4|2.0|1634|94501|899000
1687|4|3.5|4838|95220|1999999
1711|4|2.5|2850|62234|218000
1531|3|2.0|1696|96019|319500
1551|3|4.5|4228|85255|1229000
1558|3|2.0|1200|92276|225000
1792|2|2.0|1171|92677|389900
1794|4|3.5|1084|91901|875000
1589|5|4.5|4874|91901|1499000
1728|2|2.0|1512|92276|98900
1621|2|2.0|1248|93446|175000
1582|4|3.0|3141|92880|529999
1783|3|2.5|2445|91901|699000
1965|4|3.0|2287|90265|1695000
1698|3|2.5|2733|91901|689000
1611|4|2.5|2319|92021|699800
1900|3|2.0|1475|93111|769000
1584|4|2.0|2252|93510|585000
2030|2|2.0|1344|92276|104900
1612|4|2.0|2272|93510|559000
1639|5|3.0|3747|91901|925000
1565|3|2.5|2185|94501|490000
1715|2|2.0|1344|92276|154900
1954|6|5.0|4090|93510|859000
1950|2|2.5|1499|91901|539000
1731|2|2.0|2015|92276|219000
1800|4|2.0|1696|92021|379000
2046|5|4.0|3270|92880|560000
2038|2|2.0|1440|92276|106000
1781|5|3.0|3013|92880|530000
1952|3|2.0|1440|92276|169900
1769|2|2.0|1088|93446|275000
1874|8|6.0|3849|92880|580000
1891|4|3.0|3010|92880|490000
1994|5|3.0|3796|94531|615000
1538|4|2.5|2620|91901|619000
1985|2|1.0|960|92276|49900
1606|4|3.0|2617|93446|579500
1810|5|3.0|3677|92880|570000
1742|2|2.0|1056|96019|3083000
1784|3|3.5|1876|93111|1149000
1849|2|2.0|1680|92276|69500
1737|2|2.0|1040|92276|67900
1671|3|2.5|3300|92021|935000
1851|2|2.0|1640|92276|79500
1593|3|3.5|3172|95220|899900
1575|4|4.0|3721|85255|500000
1705|4|3.0|3548|95220|824999
1622|5|4.0|3500|92880|545000
1962|2|2.0|1440|92276|99900
1713|2|2.0|1248|92276|115000
2057|2|2.0|994|94501|479000
1586|3|4.0|4229|85255|1749000
1844|4|3.5|2090|93446|499000
1692|5|3.0|3267|81524|595999
1700|2|1.0|1100|92276|36000
1777|4|3.0|1765|94531|349900
2028|3|3.0|1825|92677|685000
1846|3|3.5|4289|91901|1195000
1545|5|2.0|2544|93446|599000
1530|2|3.0|1280|92276|69900
1992|3|3.5|3136|93111|2150000
1683|5|3.5|3149|92880|500000
1735|4|2.0|1771|92021|475000
2007|4|3.0|2257|90803|1299000
1867|2|2.0|1640|92276|104950
1876|3|2.0|2153|98021|435000
1661|3|2.0|2078|94501|888000
1856|3|4.0|3923|85266|889000
1845|2|2.0|1722|92276|174500
1931|5|5.0|3834|92880|565000
2061|3|3.0|2361|94501|988000
1813|4|4.5|3740|62249|339900
1543|6|6.5|7000|92677|3850000
1750|2|2.0|1344|92276|98000
1629|3|2.0|1382|92021|429900
1686|3|2.5|1500|93446|319000
1627|4|3.0|3099|92880|519900
1980|3|3.0|2100|92692|700200
1780|3|3.5|2873|85262|1695000
1571|5|5.0|4749|92880|749000
1648|3|2.5|2172|60002|225000
1574|4|2.0|1475|94531|385000
1688|4|3.5|3651|93111|1749000
1984|4|4.0|4053|85255|869500
1907|2|2.0|1440|92276|84900
2040|3|2.5|2644|92276|379500
1764|4|3.0|2686|62025|249900
2010|4|4.0|3428|85255|1039000
1940|2|2.0|1440|92276|77000
1782|2|2.0|1152|92276|96500
1536|5|3.0|2983|93510|479000
1673|4|2.0|2957|81524|699900
1537|4|2.0|2160|93510|384000
2049|3|1.5|1581|94501|895000
1552|2|2.0|2213|93446|585000
1564|4|2.0|1426|93111|949000
2021|5|3.0|3340|92880|534977
1959|3|2.5|3467|95220|1449000
1668|3|2.0|1476|93510|485000
1935|2|2.0|1935|92677|738000
1559|3|2.0|1052|94531|195000
2029|1|1.0|800|92677|335000
2054|5|3.0|3200|92880|568000
1560|3|2.0|2108|93446|439000
1987|4|2.5|2285|93510|560000
2047|2|2.0|1248|92276|79900
1768|3|2.5|2326|93510|553000
1806|1|1.0|701|94501|339000
1943|1|1.0|766|94501|349000
2062|4|3.0|1625|93510|639000
2058|6|4.0|3492|94501|1495000
1549|3|2.0|1478|92276|219900
2037|3|2.0|1826|93446|529000
1970|5|3.5|3342|93510|639000
1857|3|2.0|2330|93446|599900
1641|4|4.5|2844|93111|1595000
2026|6|4.0|4311|92880|669472
1990|4|4.0|4954|85262|1290000
1893|4|4.0|3000|93446|1495000
1767|3|2.0|1611|92021|575000
1631|2|1.5|1120|94501|435000
1973|3|2.0|1736|96019|239900
1682|2|2.0|1440|92276|110000
2020|3|2.0|1368|92276|193000
1604|4|3.0|2570|92880|510000
1928|3|4.0|3312|93510|759000
1620|5|4.0|3565|92880|537000
1835|5|4.5|4829|85266|1199000
1824|4|4.0|4464|85377|1650000
1689|3|2.5|2650|94531|458000
1877|4|5.0|4581|85266|1249000
1927|4|5.0|5524|85266|1698000
1568|5|5.0|3816|92880|589900
2034|3|2.5|1675|91901|470000
1906|5|4.0|3743|94501|1295000
1831|3|2.0|1387|93510|395000
1772|3|2.0|1400|93446|139900
1936|5|3.5|4245|92677|1895000
1862|4|2.5|1794|94531|380000
1770|4|3.5|3100|92677|1499999
1726|5|3.0|3167|93510|599900
1740|4|4.0|4600|93446|1250000
1951|3|3.0|2462|81524|589900
1754|3|2.0|1299|94501|739000
1996|2|1.0|1134|94501|599000
1553|3|2.0|1508|93510|449000
1915|3|2.5|1808|96019|219800
1645|2|2.0|1152|92276|138500
1937|4|2.0|1512|93720|89900
2006|4|3.5|2116|60002|229000
1758|4|3.0|1909|95220|649000
1803|4|4.0|3773|91752|579000
1815|4|2.0|1916|93510|549950
1605|5|5.0|3701|92880|579000
1903|4|2.0|1928|81524|350000
1699|3|3.5|2800|92677|1399999
1989|2|2.0|1152|92276|3099000
1885|4|2.0|1717|93510|494000
1567|4|2.5|2422|94531|468000
1822|2|2.0|1257|93446|380000
1634|4|3.5|2441|92677|895500
2033|5|2.0|7627|98021|638940
1868|4|2.0|2304|93111|1495000
1618|2|1.0|834|94501|549000
1659|2|2.0|1344|92276|129900
1678|5|3.0|2622|92880|539900
1762|3|2.0|1200|60016|224900
1972|2|2.0|1056|92276|68500
1569|2|2.0|1190|93446|739900
1572|3|2.5|3233|62234|259000
1854|3|3.0|1905|92880|448000
2025|3|2.5|2141|92677|750000
1956|3|2.5|1819|92677|798800
2018|3|3.0|2808|93510|2229000
1696|5|3.0|3054|92543|284900
1587|5|4.5|4180|85266|875000
1600|3|2.0|1920|93446|625000
2052|2|2.0|1040|92276|59900
1809|5|5.0|4074|92880|550000
1625|4|3.0|3343|36372|865200
1539|4|2.5|3316|60046|289900
1650|4|2.5|1831|94531|389000
1917|3|2.5|1652|94501|649000
1716|3|3.0|2390|93446|769000
1930|3|1.5|1253|94501|599000
1636|5|4.0|2809|92880|635900
1736|4|2.0|2150|92021|578000
2027|4|3.0|3214|92880|547900
2004|4|4.5|3885|92021|825500
2051|3|3.5|2724|94501|1150000
1685|3|2.5|1678|94501|668000
1883|5|4.5|5000|93111|4000000
1533|3|2.0|1806|92276|179000
1942|4|2.0|1797|93510|450000
